"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bangladesh","BGD","Adjusted net national income per capita (annual % growth)","NY.ADJ.NNTY.PC.KD.ZG","","","","","","","","","","","","","","","-2.40585817169215","-6.74011446438971","-1.46944146307055","-4.83408328835418","5.98032470311598","3.13193305298059","-0.715223569139141","9.19534707325059","-4.78563564169251","-0.248418547616083","-0.276445342360176","6.38553232474925","1.18483686920503","0.946351292499912","-0.085702001640712","0.00413431959947275","4.36345593569733","-3.71722788879953","0.985609755015233","0.880443031640681","3.00166502041984","1.64942113547156","0.925185146196327","0.0719366207216723","2.26024954005457","2.48399541650221","3.67848331252827","2.93778137297565","1.94975173685583","2.32856925421146","6.08075781019879","5.05959466811039","6.40292947562465","6.04920608985348","4.11799680737902","4.4070579945833","5.14297445183523","3.97142538516032","5.19139287528203","4.12842524191097","2.89392455697677","5.41035987800997","5.28206310313382","4.89847568560909","",
"Bangladesh","BGD","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","396.502614019836","386.963323479467","360.881552541744","355.578609376123","338.38964324331","358.626442670975","369.858382765716","367.213068439739","400.979584581106","381.790162665482","380.841725088447","379.788905877676","404.040449228306","408.827669437265","412.696615371082","412.342926111005","412.359973685417","430.353119433633","414.355913257727","418.439845559278","422.123970021112","434.794717572044","441.966313539591","446.055320223651","446.376197347569","456.46541329503","467.803993239197","485.012085065841","499.260679757587","508.995023532598","520.847325156045","552.518789559682","580.474000776552","617.641341670612","655.003739324403","681.976772397995","712.031884267162","748.651502163943","778.383637967266","818.79259069106","852.595830684046","877.269310799972","924.732737613588","973.577704349675","1021.26817147775","",
"Bangladesh","BGD","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","108.533319815868","165.675281372542","250.190974204185","126.61514959796","115.347612885138","155.603753714914","179.216726588656","203.800859626673","225.743225057554","200.593902079496","188.420746458512","197.363206290757","224.023408977224","213.422228117701","232.73838274048","247.410270034998","261.183464560358","278.858815179806","267.199863099623","268.012085878108","275.315698017946","275.363377298737","302.563119205139","360.944628276681","368.367486602436","373.92025233765","376.635498991677","385.005079277792","380.85327384637","382.55194296113","413.376702856043","441.910752792911","464.440896827032","473.802466475381","523.483349959849","604.130422198463","672.33161623391","748.651502163943","819.554278549908","845.965321678944","935.506852943822","1048.81669520299","1175.51074984723","1310.85962632663","1438.78665696945","",
"Bangladesh","BGD","Adjusted net savings, excluding particulate emission damage (% of GNI)","NY.ADJ.SVNX.GN.ZS","","","","","","","","","","","","","","","","","-9.03533315070919","0.437441826835299","-3.24279283646948","-0.968961254378101","0.28860409621405","13.0917207802413","15.12320129268","14.8281826913965","8.51780505601798","13.9289255111492","15.1201074665906","14.9085330670677","14.3203492666127","14.6647652434798","15.2128984382692","14.6023067026147","13.9163868226828","12.9967126326383","14.3473970839071","14.0255350116519","15.1124842654739","16.3498916429451","17.9564632906595","18.5009331683997","19.4105337740388","19.8106664160061","21.705386448538","21.5468391349399","22.6945339570475","23.8930736769284","24.6952970416252","25.7321548070439","26.4074369216506","27.5941792300075","27.5217251609381","26.7889626902614","28.9467961598592","28.4021648758744","26.8157646595055","25.8324526319127","26.4966520793135","25.0264206254255","",
"Bangladesh","BGD","Adjusted net savings, excluding particulate emission damage (current US$)","NY.ADJ.SVNX.CD","","","","","","","","","","","","","","","","","-913047245.210602","42033153.3258758","-429288195.664464","-150535098.600191","52401677.1182116","2695684658.31683","2850293292.79226","2687308553.57233","1656961803.30313","3155646290.08366","3356991459.96196","3707295299.39853","3892885876.10596","4314163990.47964","4903734124.22904","4617037408.63209","4519852601.98233","4427878337.68265","4996405187.96028","5483530280.32476","7201043327.76452","8111728793.10725","9232434255.94504","9776153977.09146","10695543629.8174","11020630405.0608","12352110995.527","13484897621.0094","15415363384.7975","17327416317.746","18736378714.0548","21800239820.6336","26059944919.365","30629538945.3083","34402156451.1726","37236658139.4634","41972854431.7959","46011507098.9166","49341006973.4901","53731501474.3784","62002165865.5936","65068693626.1063","",
"Bangladesh","BGD","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2348574367243","11.8557571125261","11.3025543099053","10.5853389054724","12.105007479818","11.928751978567","13.1393128939709","14.4982970087914","16.2342130630403","16.8757858066954","17.8659196787899","18.3354860831515","20.2948856515715","20.2021051790255","21.42069328623","22.7045270260293","23.5976940266136","24.7028968910186","25.4545547609735","26.7001923995027","26.6710500784013","25.9885089293182","28.2061966806593","27.7068689828593","26.1536512583009","25.2208919345454","25.9265435768694","24.4914756340566","",
"Bangladesh","BGD","Adjusted net savings, including particulate emission damage (current US$)","NY.ADJ.SVNG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3943790735.2761","3748618297.84657","3670915457.98405","3606342169.85499","4215504862.57192","4663755972.7037","6260834405.8099","7193090686.19914","8346927920.90568","8917403194.15143","9844434245.64058","10199990811.8328","11549422573.2445","12643307835.6383","14550101429.1147","16465474362.8656","17903624779.8834","20928254183.4068","25119601610.1842","29637213563.448","33338812598.0016","36124027411.7523","40898985186.9559","44885127752.2321","48122718315.2736","52459455223.8544","60668111969.8744","63677836648.5472","",
"Bangladesh","BGD","Adjusted savings: carbon dioxide damage (% of GNI)","NY.ADJ.DCO2.GN.ZS","","","","","","","","","","","","","","0.117412510802556","0.0873301104414799","0.0661323511346493","0.158311337392571","0.189987053347585","0.157410392165365","0.164645525943625","0.181846811968821","0.187610822240247","0.242861594177988","0.259682529081347","0.28558448988865","0.292377831568548","0.350851103716948","0.342647827187826","0.381201769898967","0.374957578435001","0.421883462246184","0.469051378664211","0.536136597362955","0.528516633536873","0.59443275816558","0.6673372675495","0.604621669262013","0.633525631140831","0.610562775115947","0.654441905380216","0.731193750163228","0.88709241996721","0.940552303803809","0.952828971446248","0.985451083772028","1.02338317985355","1.14723618298486","1.10283440273489","1.11026204791304","1.11052573453396","1.14867698322683","1.14789954347652","1.22871191043273","1.19018354298682","1.15855297066273","1.15152709888788","1.15281234098726","1.18781758923974","",
"Bangladesh","BGD","Adjusted savings: carbon dioxide damage (current US$)","NY.ADJ.DCO2.CD","","","","","","","","","","","","","6730185.46003556","9519869.20917643","10936227.1881023","12856075.6613476","15997830.7474526","18255581.5502688","20838341.0964591","25578866.4097941","33017819.3960865","38630492.029018","45772502.7635129","47062212.284348","55554522.3504472","66239209.8194136","77896546.8002459","85206014.1241246","103627010.651626","110307151.596644","135990149.323568","148307237.066548","174129853.207238","180061483.152745","207008065.603997","260907274.535825","288100007.96547","314313282.040249","313924885.381943","345816331.415435","402900546.051979","493487573.325184","535249924.309266","596319536.699424","669372042.758823","742164304.587737","870410732.96831","934319517.442219","1095652255.10218","1232683565.3327","1435846229.03354","1595580365.43236","1781632270.12745","1928097339.63865","2131737466.01942","2395176365.68679","2697580877.91018","3088325732.02332","",
"Bangladesh","BGD","Adjusted savings: consumption of fixed capital (% of GNI)","NY.ADJ.DKAP.GN.ZS","","","","","","","","","","","","","","7.59039588689108","7.19321178468819","7.70767530454454","7.90229109682249","7.75210554906928","7.79335049486696","7.99070170929859","7.91273825444337","7.71663386270466","7.64993397763205","7.58644663878073","7.47175965475965","7.5508245984399","7.45853597460678","7.53633314760453","7.677937142412","7.63780733047143","7.70454742600502","7.68822849299536","7.78176216375739","7.76504736180861","7.80546268175344","7.76233479786361","7.79318870241249","7.74906822305976","7.77045148970759","7.72872167673947","7.68036794767691","7.77061916002958","7.67324432503605","7.70713516421607","7.57098205119363","7.51672276861025","8.26228128093268","8.1869773087695","8.07891060892321","8.02831560541411","7.99409182497659","7.99535077041612","7.87548037959792","8.03192008610219","8.18693836899006","8.10215727668558","8.17530941141619","8.32176397258237","",
